** CONVERTED FROM C:\Eye_Tracker\Results\trial_1.edf using edfapi 4.3.1 Win32  EyeLink Dataviewer Subcomponent Jul 28 2022 on Thu Apr 27 13:10:58 2023
** DATE: Thu Apr 27 13:00:00 2023
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.50 Jun 16 2022 (EyeLink 1000 Plus)
** CAMERA: Eyelink GL Version 1.2 Sensor=AG7
** SERIAL NUMBER: CLG-BIH04
** CAMERA_CONFIG: BIH04200.SCD
**

MSG	1360319 !V IAREA RECTANGLE 1 0 0 639 539 topleft
MSG	1360383 RECCFG CR 500 2 1 L
MSG	1360383 ELCLCFG RTABLER
MSG	1360383 GAZE_COORDS 0.00 0.00 1680.00 1050.00
MSG	1360383 THRESHOLDS L 119 233
MSG	1360383 ELCL_WINDOW_SIZES 176 176 208 208
MSG	1360383 CAMERA_LENS_FOCAL_LENGTH 27.00 
MSG	1360383 ELCL_PROC ELLIPSE  (5)
MSG	1360383 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
START	1360384 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	CR	FILTER	2	INPUT
INPUT	1360384	127
MSG	1360384 !MODE RECORD CR 500 2 1 L

1360384	 2382.0	  757.3	 1000.0	  127.0	...
1360386	 2382.0	  757.3	 1000.0	  127.0	...
1360388	 2382.0	  757.3	 1000.0	  127.0	...
1360390	 2382.0	  757.3	 1000.0	  127.0	...
1360392	 2382.0	  757.3	 1000.0	  127.0	...
SFIX L   1360394
1360394	 2382.0	  757.3	 1000.0	  127.0	...
1360396	 2382.0	  757.3	 1000.0	  127.0	...
1360398	 2382.0	  757.3	 1000.0	  127.0	...
1360400	 2382.0	  757.3	 1000.0	  127.0	...
1360402	 2382.0	  757.3	 1000.0	  127.0	...
EFIX L   1360394	1360402	10	 2382.0	  757.3	   1000
SSACC L  1360404
1360404	 2382.0	  757.3	 1000.0	  127.0	...
1360406	 2382.0	  757.3	 1000.0	  127.0	...
1360408	 2382.0	  757.3	 1000.0	  127.0	...
1360410	 2382.0	  757.3	 1000.0	  127.0	...
1360412	 2382.0	  757.3	 1000.0	  127.0	...
1360414	 1528.7	  956.4	 1000.0	  127.0	...
1360416	 1390.1	  869.5	 1000.0	  127.0	...
1360418	 1251.9	  782.8	 1000.0	  127.0	...
1360420	 1114.0	  696.3	 1000.0	  127.0	...
1360422	  976.3	  610.0	 1000.0	  127.0	...
1360424	  839.0	  523.8	 1000.0	  127.0	...
1360426	  839.0	  523.8	 1000.0	  127.0	...
1360428	  839.0	  523.8	 1000.0	  127.0	...
1360430	  839.0	  523.8	 1000.0	  127.0	...
1360432	  839.0	  523.8	 1000.0	  127.0	...
1360434	  839.0	  523.8	 1000.0	  127.0	...
ESACC L  1360404	1360434	32	 2382.0	  757.3	  839.0	  523.8	  27.20	   3270
SFIX L   1360436
1360436	  839.0	  523.8	 1000.0	  127.0	...
1360438	  839.0	  523.8	 1000.0	  127.0	...
1360440	  839.0	  523.8	 1000.0	  127.0	...
1360442	  839.0	  523.8	 1000.0	  127.0	...
1360444	  839.0	  523.8	 1000.0	  127.0	...
1360446	  839.0	  523.8	 1000.0	  127.0	...
1360448	  839.0	  523.8	 1000.0	  127.0	...
1360450	  839.0	  523.8	 1000.0	  127.0	...
1360452	  839.0	  523.8	 1000.0	  127.0	...
1360454	  839.0	  523.8	 1000.0	  127.0	...
1360456	  839.0	  523.8	 1000.0	  127.0	...
1360458	  839.0	  523.8	 1000.0	  127.0	...
